11, 6, 0, 191, 191, 191
12, 6, 0, 191, 191, 191
13, 6, 0, 191, 191, 191
14, 6, 0, 191, 191, 191
10, 7, 0, 191, 191, 191
11, 7, 0, 191, 191, 191
12, 7, 0, 191, 191, 191
13, 7, 0, 191, 191, 191
14, 7, 0, 191, 191, 191
15, 7, 0, 191, 191, 191
16, 7, 0, 191, 191, 191
17, 7, 0, 191, 191, 191
18, 7, 0, 191, 191, 191
19, 7, 0, 191, 191, 191
20, 7, 0, 191, 191, 191
9, 8, 0, 191, 191, 191
10, 8, 0, 191, 191, 191
11, 8, 0, 191, 191, 191
12, 8, 0, 191, 191, 191
13, 8, 0, 191, 191, 191
14, 8, 0, 191, 191, 191
15, 8, 0, 191, 191, 191
16, 8, 0, 191, 191, 191
17, 8, 0, 191, 191, 191
18, 8, 0, 191, 191, 191
19, 8, 0, 191, 191, 191
20, 8, 0, 191, 191, 191
21, 8, 0, 191, 191, 191
22, 8, 0, 191, 191, 191
9, 9, 0, 191, 191, 191
10, 9, 0, 191, 191, 191
11, 9, 0, 191, 191, 191
12, 9, 0, 191, 191, 191
13, 9, 0, 191, 191, 191
14, 9, 0, 191, 191, 191
15, 9, 0, 191, 191, 191
16, 9, 0, 191, 191, 191
17, 9, 0, 191, 191, 191
18, 9, 0, 191, 191, 191
19, 9, 0, 191, 191, 191
20, 9, 0, 191, 191, 191
21, 9, 0, 191, 191, 191
22, 9, 0, 191, 191, 191
23, 9, 0, 191, 191, 191
6, 10, 0, 191, 191, 191
7, 10, 0, 191, 191, 191
8, 10, 0, 191, 191, 191
9, 10, 0, 191, 191, 191
10, 10, 0, 191, 191, 191
11, 10, 0, 191, 191, 191
20, 10, 0, 191, 191, 191
21, 10, 0, 191, 191, 191
22, 10, 0, 191, 191, 191
23, 10, 0, 191, 191, 191
5, 11, 0, 191, 191, 191
6, 11, 0, 191, 191, 191
7, 11, 0, 191, 191, 191
8, 11, 0, 191, 191, 191
9, 11, 0, 191, 191, 191
10, 11, 0, 191, 191, 191
11, 11, 0, 191, 191, 191
20, 11, 0, 191, 191, 191
21, 11, 0, 191, 191, 191
22, 11, 0, 191, 191, 191
23, 11, 0, 191, 191, 191
4, 12, 0, 191, 191, 191
5, 12, 0, 191, 191, 191
6, 12, 0, 191, 191, 191
7, 12, 0, 191, 191, 191
8, 12, 0, 191, 191, 191
9, 12, 0, 191, 191, 191
10, 12, 0, 191, 191, 191
11, 12, 0, 191, 191, 191
20, 12, 0, 191, 191, 191
21, 12, 0, 191, 191, 191
22, 12, 0, 191, 191, 191
23, 12, 0, 191, 191, 191
24, 12, 0, 191, 191, 191
25, 12, 0, 191, 191, 191
4, 13, 0, 191, 191, 191
5, 13, 0, 191, 191, 191
6, 13, 0, 191, 191, 191
7, 13, 0, 191, 191, 191
8, 13, 0, 191, 191, 191
9, 13, 0, 191, 191, 191
10, 13, 0, 191, 191, 191
11, 13, 0, 191, 191, 191
12, 13, 0, 191, 191, 191
19, 13, 0, 191, 191, 191
20, 13, 0, 191, 191, 191
21, 13, 0, 191, 191, 191
22, 13, 0, 191, 191, 191
23, 13, 0, 191, 191, 191
24, 13, 0, 191, 191, 191
25, 13, 0, 191, 191, 191
26, 13, 0, 191, 191, 191
4, 14, 0, 191, 191, 191
5, 14, 0, 191, 191, 191
6, 14, 0, 191, 191, 191
7, 14, 0, 191, 191, 191
